Gender,Age,Occupation,ZIP-code,2,56,247,260,653,673,810,885,1009,1073,1097,1126,1525,1654,1702,1750,1881,1920,1967,2017,2021,2043,2086,2087,2093,2100,2105,2138,2143,2174,2193,2253,2399,2628,2797,2872,2968,3393,3438,3439,3440,3466,3479,3489,3877,3889
M,25,8,794,3,0,4,2,5,0,0,5,1,1,5,0,5,1,3,1,2,0,3,4,2,1,2,3,3,3,2,1,4,0,3,4,2,4,1,5,2,1,0,4,1,4,3,4,5,5
M,50,8,322,4,2,5,1,3,1,4,5,5,2,0,4,1,0,2,2,3,3,2,3,5,1,4,5,0,4,0,4,2,3,0,3,0,2,0,4,0,2,1,4,4,5,3,2,5,2
M,35,8,975,1,2,2,5,0,5,4,5,4,1,2,1,5,1,5,5,4,5,5,1,0,1,0,1,2,4,3,4,0,0,1,5,3,1,5,5,3,3,1,2,2,5,0,5,1,5
F,1,9,140,5,2,0,4,3,3,1,5,1,4,3,0,4,4,3,4,2,3,3,5,0,0,2,4,3,4,3,2,0,3,3,2,3,2,1,3,1,2,2,3,1,3,0,5,0,5
F,1,3,942,2,2,3,5,1,3,4,1,3,1,3,1,3,0,2,1,5,3,1,2,3,1,0,4,0,0,3,1,0,2,4,2,1,0,0,4,5,4,5,4,5,1,1,1,0,4
F,56,11,180,5,0,4,2,3,3,4,2,1,1,2,3,1,3,1,1,5,4,0,2,0,4,3,0,1,0,4,2,3,5,3,5,4,0,4,1,2,1,1,3,1,3,4,2,3,0
F,56,14,453,4,1,4,1,5,2,3,0,1,4,5,5,4,4,5,1,0,3,1,2,5,1,0,4,4,3,0,5,0,4,3,3,3,0,2,1,4,5,2,2,1,4,0,5,3,3
M,50,8,764,0,2,1,2,3,2,4,0,4,4,4,0,5,3,4,1,0,1,2,3,2,1,4,3,4,4,0,1,3,2,3,5,4,1,1,1,5,2,2,0,4,5,5,2,2,2
F,1,19,482,5,3,3,5,3,3,1,0,3,0,0,4,5,5,0,1,1,0,0,3,3,4,3,1,3,4,5,1,5,2,5,5,3,4,3,5,1,2,5,5,4,4,1,4,0,5
M,56,10,965,5,2,0,2,0,5,3,5,3,3,0,2,1,3,2,1,4,1,5,2,4,0,5,3,1,1,4,1,3,2,5,5,1,5,0,4,2,5,5,2,4,1,3,2,3,1
F,56,2,382,4,0,1,5,2,5,2,2,1,1,3,0,0,5,2,1,3,2,2,5,4,4,4,3,5,3,3,0,3,1,3,2,5,0,4,5,3,0,2,2,3,3,1,0,1,5
M,50,11,325,1,2,5,1,1,4,4,3,4,0,0,0,3,5,1,1,2,1,3,5,4,4,4,3,1,5,0,1,3,1,5,3,2,0,4,4,0,3,4,1,4,2,3,1,1,0
M,18,7,190,3,0,0,3,5,1,0,0,4,1,1,5,2,3,0,5,0,5,4,2,4,4,4,4,4,4,2,2,3,0,5,2,4,3,2,4,3,4,0,5,0,5,0,2,3,4
F,35,15,417,5,0,2,4,0,2,4,5,4,2,1,0,1,1,1,2,1,3,1,5,1,1,3,4,1,5,0,0,2,3,3,5,3,1,0,1,3,5,4,5,2,5,3,1,2,2
F,18,10,604,3,0,1,2,0,5,2,4,4,4,3,5,5,2,2,3,4,3,2,3,4,5,0,5,1,5,4,3,1,4,5,5,3,0,2,1,0,5,3,2,4,3,3,4,0,5
M,56,9,953,2,2,4,4,5,4,1,2,3,5,3,0,1,3,3,1,1,3,3,2,3,4,0,4,4,3,1,2,1,4,3,5,5,1,0,3,5,5,5,0,4,0,4,2,1,0
M,18,0,501,3,1,0,0,3,5,1,2,3,2,1,3,0,2,4,5,3,2,1,3,4,1,3,3,5,0,0,2,3,3,4,2,5,0,4,3,0,5,2,3,0,0,3,0,4,3
M,18,14,297,1,4,5,5,2,5,4,0,3,5,4,5,5,2,2,5,4,3,0,4,2,1,4,3,4,2,0,5,5,1,3,5,0,5,4,2,4,2,0,2,5,0,0,0,4,2
F,18,16,830,0,0,5,2,0,5,4,5,4,4,3,4,0,4,3,1,2,5,0,4,1,4,2,1,3,0,3,4,2,3,5,2,3,1,3,1,2,2,2,1,2,1,3,4,3,5
F,45,10,28,1,4,3,5,5,2,4,3,3,1,5,0,1,0,3,3,5,4,4,1,4,4,2,4,3,5,0,5,3,2,0,2,4,2,2,1,1,3,5,3,0,0,4,2,3,5
F,25,9,834,0,3,0,5,2,1,1,4,0,0,5,4,4,0,5,2,2,3,2,0,5,1,4,4,5,1,5,1,2,4,1,4,5,1,2,1,1,3,1,1,0,2,1,1,2,5
M,56,8,41,1,4,4,2,2,5,2,2,0,2,5,2,4,5,3,5,3,3,0,5,1,1,2,0,2,4,1,0,0,1,3,5,0,3,4,3,1,0,1,2,0,4,3,3,0,4
M,18,0,150,4,2,0,0,0,4,4,2,5,1,5,1,3,2,1,1,5,1,2,5,3,3,5,3,2,2,0,1,1,4,1,3,0,4,5,5,5,0,3,0,4,0,3,3,4,4
F,50,4,485,1,4,3,2,5,2,3,1,4,4,5,0,1,1,4,2,2,3,2,5,4,1,3,0,4,3,0,1,3,1,3,0,4,3,3,4,3,0,4,2,1,0,4,5,2,4
F,56,15,834,4,3,1,2,4,4,0,0,3,3,0,2,1,4,3,2,2,3,0,5,3,1,2,1,1,4,3,4,1,3,1,4,4,0,2,1,3,4,4,3,5,4,0,5,4,3
F,50,3,975,0,1,3,4,1,5,4,5,1,3,0,2,5,2,0,1,4,3,4,3,5,3,3,5,1,3,0,0,3,1,0,0,5,1,2,0,4,3,0,1,0,3,3,0,0,0
